,dataset_name,url
145,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-45.jpg)
146,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-47.jpg) [crop to lesion]
147,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-47.jpg)
148,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-48.jpg)
149,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-49.jpg)
150,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-5.jpg)
151,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-52.jpg)
152,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-53.jpg) [crop to lesion]
153,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-53.jpg)
154,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-54.jpg)
155,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-55.jpg) [crop to lesion]
156,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-55.jpg)
157,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-56.jpg)
158,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-57.jpg)
159,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-58.jpg)
160,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-59.jpg)
161,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-6.jpg)
162,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-60.jpg)
163,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-61.jpg)
164,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-62.jpg)
165,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-63.jpg)
166,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-64.jpg)
167,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-65.jpg)
168,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-66.jpg)
169,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-7.jpg)
170,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-6.jpg)
171,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-9.jpg)
